benchmark_id,compute_price_label,compute_price_usd_gpu_hour,opex_assumption_usd_gpu_hour,delivered_kw,break_even_power_usd_kwh
a100_on_demand,NVIDIA A100 (on demand),4.3159,0.0,1.0999999999999999,3.923545454545455
a100_on_demand,NVIDIA A100 (on demand),4.3159,0.05,1.0999999999999999,3.87809090909091
a100_on_demand,NVIDIA A100 (on demand),4.3159,0.2,1.0999999999999999,3.7417272727272732
a100_reserved_1yr,NVIDIA A100 (reserved 1yr),2.8332,0.0,1.0999999999999999,2.575636363636364
a100_reserved_1yr,NVIDIA A100 (reserved 1yr),2.8332,0.05,1.0999999999999999,2.530181818181819
a100_reserved_1yr,NVIDIA A100 (reserved 1yr),2.8332,0.2,1.0999999999999999,2.3938181818181823
a100_reserved_3yr,NVIDIA A100 (reserved 3yr),1.6584,0.0,1.0999999999999999,1.5076363636363639
a100_reserved_3yr,NVIDIA A100 (reserved 3yr),1.6584,0.05,1.0999999999999999,1.4621818181818185
a100_reserved_3yr,NVIDIA A100 (reserved 3yr),1.6584,0.2,1.0999999999999999,1.325818181818182
a100_spot,NVIDIA A100 (spot),0.8168,0.0,1.0999999999999999,0.7425454545454546
a100_spot,NVIDIA A100 (spot),0.8168,0.05,1.0999999999999999,0.6970909090909091
a100_spot,NVIDIA A100 (spot),0.8168,0.2,1.0999999999999999,0.5607272727272729
h100_on_demand,NVIDIA H100 (on demand),14.1335,0.0,1.0999999999999999,12.848636363636365
h100_on_demand,NVIDIA H100 (on demand),14.1335,0.05,1.0999999999999999,12.80318181818182
h100_on_demand,NVIDIA H100 (on demand),14.1335,0.2,1.0999999999999999,12.666818181818185
h100_reserved_1yr,NVIDIA H100 (reserved 1yr),9.0454,0.0,1.0999999999999999,8.22309090909091
h100_reserved_1yr,NVIDIA H100 (reserved 1yr),9.0454,0.05,1.0999999999999999,8.177636363636365
h100_reserved_1yr,NVIDIA H100 (reserved 1yr),9.0454,0.2,1.0999999999999999,8.04127272727273
h100_reserved_3yr,NVIDIA H100 (reserved 3yr),6.2046,0.0,1.0999999999999999,5.640545454545455
h100_reserved_3yr,NVIDIA H100 (reserved 3yr),6.2046,0.05,1.0999999999999999,5.59509090909091
h100_reserved_3yr,NVIDIA H100 (reserved 3yr),6.2046,0.2,1.0999999999999999,5.458727272727273
h100_reserved_5yr,NVIDIA H100 (reserved 5yr),5.6534,0.0,1.0999999999999999,5.139454545454546
h100_reserved_5yr,NVIDIA H100 (reserved 5yr),5.6534,0.05,1.0999999999999999,5.094000000000001
h100_reserved_5yr,NVIDIA H100 (reserved 5yr),5.6534,0.2,1.0999999999999999,4.9576363636363645
h100_spot,NVIDIA H100 (spot),2.6119,0.0,1.0999999999999999,2.3744545454545456
h100_spot,NVIDIA H100 (spot),2.6119,0.05,1.0999999999999999,2.329
h100_spot,NVIDIA H100 (spot),2.6119,0.2,1.0999999999999999,2.1926363636363635
