hub_code,hub_name,bzn,mean_load_mw,peak_load_mw,mean_generation_mw,firm_generation_mw,variable_generation_mw,firm_share_of_generation,nuclear_mw,nuclear_share_of_load,hydro_reservoir_mw,wind_solar_mw,net_import_mw,net_import_share_of_load,is_net_exporter,generation_source_url,installed_year,installed_total_gw,installed_firm_gw,installed_firm_share,installed_nuclear_gw,installed_excluded_gw,installed_is_current_year,installed_confidence,installed_source_url,capacity_headroom_gw,firm_headroom_gw,as_of_date,window_start,window_end,iso2,country,gdp_usd,gdp_per_capita_usd,one_gw_cluster_share_of_consumption,electricity_use_kwh_per_capita,mean_usd_kwh,negative_hours,hour_count,fails_absorption,fails_firmness,fails_import,headroom_gw_low_confidence,constraints_failed,binding_constraint,clusters_gw_to_absorption_limit
fr,France,FR,50460.135604578354,90191.7,63348.80290412202,48692.09291444605,14656.70998967597,0.7686347757532404,42967.03581436511,0.8515045649315818,1648.3896760237888,10113.837987316228,-11782.16951183728,-0.2334946065972969,True,https://api.energy-charts.info/public_power?country=fr&start=2026-01-01&end=2026-08-01,2025,151.85000000000002,98.16,0.6464273954560421,62.99,0.0,True,low,https://api.energy-charts.info/installed_power?country=fr&time_step=yearly,61.658300000000025,7.968300000000013,2026-08-04,2026-01-01,2026-08-01,FR,France,3366315927447.33,48985.7307807924,0.0197718320911518,6447.21141881145,0.0829014885325569,1504.0,31463.0,False,False,False,61.658300000000025,0,NONE,5.0577002444174886
es,Spain,ES,27865.45379836619,41388.0,30678.816126446283,15867.76373687528,14811.052389571005,0.5172221663141908,5942.763390891748,0.2132663416821937,2694.669666878638,13727.833879567575,-1335.0355654470784,-0.0479100600732134,True,https://api.energy-charts.info/public_power?country=es&start=2026-01-01&end=2026-08-01,2025,132.82,58.15,0.4378105706971841,7.12,0.0,True,low,https://api.energy-charts.info/installed_power?country=es&time_step=yearly,91.432,16.762,2026-08-04,2026-01-01,2026-08-01,ES,Spain,1906453309985.88,38627.2472148623,0.0341580651762411,5196.11110519718,,,,False,False,False,91.432,0,NONE,2.927566285854966
pl,Poland,PL,18603.494389552077,27733.9,19083.288644227778,13728.81029641949,5354.478347808288,0.7194153247046396,0.0,0.0,59.91510467618854,5261.410777861114,-436.8934601839149,-0.0234844836693303,True,https://api.energy-charts.info/public_power?country=pl&start=2026-01-01&end=2026-08-01,2025,67.93,36.0,0.5299573089945532,0.0,0.0,True,low,https://api.energy-charts.info/installed_power?country=pl&time_step=yearly,40.1961,8.266099999999998,2026-08-04,2026-01-01,2026-08-01,PL,Poland,1035491784197.44,28419.5777395638,0.0550216990528313,4369.59385882083,,,,False,False,False,40.1961,0,NONE,1.8174647770142645
no,Norway,NO2,16337.45042852233,25389.3,17052.387026841825,12528.202300649884,4524.184726191942,0.7346890661658974,0.0,0.0,11892.727725871917,1652.645340703407,-512.8809724124452,-0.0313929627304052,True,https://api.energy-charts.info/public_power?country=no&start=2026-01-01&end=2026-08-01,2025,33.7,28.42,0.8433234421364983,0.0,0.0,True,low,https://api.energy-charts.info/installed_power?country=no&time_step=yearly,8.310700000000004,3.0306999999999995,2026-08-04,2026-01-01,2026-08-01,NO,Norway,530755719438.879,94594.1929573987,0.0659506614232818,23673.0788246604,0.0848584982693175,431.0,26208.0,False,False,False,8.310700000000004,0,NONE,1.5162850203758254
se,Sweden,SE4,15248.01673189824,24982.0,17931.922249261475,13057.78237835432,4874.139870907157,0.7281864262428476,4616.997339072587,0.302793302253795,7564.0811301369695,4874.139870907157,-3281.372158090375,-0.2151999316229681,True,https://api.energy-charts.info/public_power?country=se&start=2026-01-01&end=2026-08-01,2025,53.0,30.0,0.5660377358490566,6.9,0.0,True,low,https://api.energy-charts.info/installed_power?country=se&time_step=yearly,28.018,5.017999999999997,2026-08-04,2026-01-01,2026-08-01,SE,Sweden,668998664082.081,63133.2126736715,0.067615015705738,12226.2590199976,0.073255560452873,1459.0,31487.0,False,False,False,28.018,0,NONE,1.4789614253023642
nl,Netherlands,NL,13073.437331246354,20718.0,13204.320979260438,10665.100151633744,2539.2208276266933,0.807697735338685,315.9407943650939,0.0241666201749386,0.0,2539.2208276266933,-1681.7071365681832,-0.1286354226480892,True,https://api.energy-charts.info/public_power?country=nl&start=2026-01-01&end=2026-08-01,2025,65.31,24.11,0.3691624559791762,0.49,0.0,True,low,https://api.energy-charts.info/installed_power?country=nl&time_step=yearly,44.592,3.3919999999999995,2026-08-04,2026-01-01,2026-08-01,NL,Netherlands,1332767651100.39,73683.917132794,0.0758347906174994,6386.36706563515,0.1033038558328945,1671.0,31487.0,False,False,False,44.592,0,NONE,1.3186559781563414
it,Italy,IT-North,32732.340784582277,50231.0,26001.940763547835,15963.028688821452,10038.91207472638,0.6139168162093519,0.0,0.0,405.88177460379575,7396.091149271479,6179.343499315207,0.1887840390023626,False,https://api.energy-charts.info/public_power?country=it&start=2026-01-01&end=2026-08-01,2025,96.63,69.81,0.7224464452033531,0.0,0.0,True,low,https://api.energy-charts.info/installed_power?country=it&time_step=yearly,46.399,19.579,2026-08-04,2026-01-01,2026-08-01,IT,Italy,2551556954100.35,43308.6403060733,0.0289461713715901,5136.67702163416,,,,False,False,True,46.399,1,IMPORT,3.4546883149509493
de,Germany,DE-LU,54012.710702406526,78372.6,52101.835399139,24315.88001369596,27785.95538544305,0.4666991062295242,0.0,0.0,133.09281940911714,26120.687409508784,266.2017609078423,0.0049285021515497,False,https://api.energy-charts.info/public_power?country=de&start=2026-01-01&end=2026-08-01,2026,312.521,87.60499999999999,0.2803171626866674,0.0,370.426,True,low,https://api.energy-charts.info/installed_power?country=de&time_step=yearly,234.1484,9.232399999999984,2026-08-04,2026-01-01,2026-08-01,DE,Germany,5050922925047.05,60496.4350820414,0.0171746126541526,6109.08541252395,0.1043728298371415,1716.0,31487.0,False,True,True,234.1484,2,FIRMNESS,5.822547618028596
be,Belgium,BE,9553.748248874976,13515.7,7198.716975444345,4213.760998140491,2984.9559773038536,0.5853488909918416,1258.7562241236544,0.1317552222785315,0.0,2963.907630600664,2920.234885541,0.305663788648071,False,https://api.energy-charts.info/public_power?country=be&start=2026-01-01&end=2026-08-01,2025,31.71,14.18,0.4471775465152949,2.06,0.0,True,low,https://api.energy-charts.info/installed_power?country=be&time_step=yearly,18.1943,0.6643000000000008,2026-08-04,2026-01-01,2026-08-01,BE,Belgium,725466462859.646,60750.2735864647,0.1033355013052467,7098.80837636114,0.0997077537227135,1409.0,31463.0,True,False,True,18.1943,2,ABSORPTION,0.967721632322721
fi,Finland,FI,10288.24429326544,15553.0,9246.363712517676,5441.571321370282,3804.7923911473936,0.5885093308630628,3846.801864722008,0.3739026557952243,0.0,2451.711180301655,889.7891557425268,0.0864860058119899,False,https://api.energy-charts.info/public_power?country=fi&start=2026-01-01&end=2026-08-01,2025,22.81,10.760000000000002,0.471722928540114,4.37,0.0,True,low,https://api.energy-charts.info/installed_power?country=fi&time_step=yearly,7.2570000000000014,-4.792999999999999,2026-08-04,2026-01-01,2026-08-01,FI,Finland,317039368819.607,56148.580949046,0.1046894150677634,14819.2738283578,,,,True,False,True,7.2570000000000014,2,ABSORPTION,0.9552064068298783
