iso2,electricity_use_kwh_per_capita,gdp_usd,gdp_per_capita_usd,population,electricity_use_kwh_per_capita_year,gdp_usd_year,gdp_per_capita_usd_year,population_year,country,source_url,as_of_date,electricity_consumption_kwh_derived,one_gw_cluster_share_of_consumption
US,12839.3419088787,30769700000000.0,90026.5163005744,341784857.0,2024,2025,2025,2025,United States,https://api.worldbank.org/v2/country/IT;PL;CH;IE;DK;US;GB;SG;AE;SA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,4388292638300.2134,0.0019962205627638246
CN,6523.71926193193,19498039388042.6,13861.970224368,1406585000.0,2023,2025,2025,2025,China,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,9176165658044.523,0.0009546471071302335
DE,6109.08541252395,5050922925047.05,60496.4350820414,83491249.0,2024,2025,2025,2025,Germany,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,510055171339.3049,0.017174612654152602
JP,7530.06014396198,4435162999976.94,35951.0449549304,123366734.0,2024,2025,2025,2025,Japan,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,928958926784.1593,0.009429910997599314
GB,4194.88748718985,4002587541846.01,57601.9621201954,69487000.0,2024,2025,2025,2025,United Kingdom,https://api.worldbank.org/v2/country/IT;PL;CH;IE;DK;US;GB;SG;AE;SA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,291490146822.3611,0.030052473798843325
IN,1181.63126786529,3956067115771.63,2702.47987141553,1463865525.0,2023,2025,2025,2025,India,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,1729749276290.0386,0.005064317771410446
FR,6447.21141881145,3366315927447.33,48985.7307807924,68720337.0,2024,2025,2025,2025,France,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,443054541410.971,0.019771832091151843
IT,5136.67702163416,2551556954100.35,43308.6403060733,58915656.0,2024,2025,2025,2025,Italy,https://api.worldbank.org/v2/country/IT;PL;CH;IE;DK;US;GB;SG;AE;SA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,302630696389.70276,0.028946171371590133
CA,14093.4604054948,2319899772425.92,55697.6639660837,41651653.0,2024,2025,2025,2025,Canada,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,587015922378.9087,0.014922934227234761
BR,3068.09612345834,2279920092492.13,10713.2856869511,212812405.0,2024,2025,2025,2025,Brazil,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,652928914804.3463,0.013416468165795632
ES,5196.11110519718,1906453309985.88,38627.2472148623,49355143.0,2024,2025,2025,2025,Spain,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,256454806640.89487,0.03415806517624111
KR,11350.1625522103,1872374961553.15,36226.9663637512,51684564.0,2024,2025,2025,2025,"Korea, Rep.",https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,586628202840.1166,0.014932797225890462
AU,9800.95598023791,1798518933689.21,65129.7227990563,27614411.0,2024,2025,2025,2025,Australia,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,270647626631.1975,0.03236680886153478
NL,6386.36706563515,1332767651100.39,73683.917132794,18087633.0,2024,2025,2025,2025,Netherlands,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,115514263686.4955,0.0758347906174994
