bzn,zone_name,country,role,month,mean_eur_mwh,p10_eur_mwh,p90_eur_mwh,volatility_eur_mwh,negative_hours,hour_count,source_url,license,mean_usd_kwh,p10_usd_kwh,p90_usd_kwh,volatility_usd_kwh,fx_usd_per_eur,fx_source_url,as_of_date,confidence
AT,Austria,AT,constrained,2025-12,88.0425,88.0425,88.0425,,0,1,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.10242556301250001,0.10242556301250001,0.10242556301250001,,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-01,141.45754368279572,89.2205,199.86200000000002,48.27414100211103,0,744,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.16456675530653564,0.10379600698250001,0.23251245563000003,0.056160446046920894,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-02,109.131171875,74.37,148.7955,29.322085655752325,4,672,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.12695938576835938,0.08651945505,0.1731034768575,0.0341122881789043,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-03,112.51948588709678,30.032249999999994,163.90425000000002,49.42833938082789,14,744,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.13090123169904233,0.034938468521249995,0.19068046780125003,0.05750320004377684,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-04,86.57334027777777,-0.8552499999999996,144.17950000000002,66.93419401572673,83,720,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.10071639401225695,-0.0009949679162499995,0.16773338401750001,0.07786889862110592,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-05,100.03622647849463,0.005749999999999994,156.51450000000003,69.66163583204327,69,744,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.1163786446171539,6.689348749999993e-06,0.18208349129250004,0.08104190896974503,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-06,106.77621875,6.002500000000005,159.70975,69.70636836219408,50,720,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.12421971572609375,0.006983098412500006,0.18580073330875002,0.08109394922968391,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-07,117.25065860215055,15.24725,172.66725000000002,55.69018311449596,23,744,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.13640531244469087,0.01773811699625,0.20087503529625003,0.06478800987899559,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
AT,Austria,AT,constrained,2026-08,140.55428191489364,43.34150000000002,199.583,58.30036269186498,0,94,https://api.energy-charts.info/price?bzn=AT&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.16351593217992025,0.05042198414750002,0.232187876795,0.0678246014430215,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2025-12,77.78,77.78,77.78,,0,1,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.09048652970000001,0.09048652970000001,0.09048652970000001,,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-01,108.56935147849462,81.19425,145.35675,28.745141005061367,0,744,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.1263057835827789,0.09445854865125,0.16910295546374998,0.03344109096535322,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-02,85.07286830357143,50.91075,117.5325,26.821319153687334,2,672,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.09897079743398438,0.05922778467375,0.1367331968625,0.031202983957229462,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-03,92.75162298387097,14.262999999999995,154.42175,50.23215778263954,16,744,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.10790399187263106,0.016593074994999995,0.17964885918875,0.05843833423880045,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-04,78.81237847222222,-3.0347499999999985,141.1125,65.86377310420137,103,720,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.0916875626813368,-0.003530521933749998,0.1641653435625,0.07662360839736923,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
